곡번호,곡제목,가수,작곡가,작사가
"21421","2019년 겨울 첫눈으로 만든 그댈 2020년 눈..","브라운아이드걸스(Brown Eyed Girls)","이민수,제아","김이나,미료"
"29277","2020년 11월 어느 가을밤","2F(신용재,김원주)","신용재,이단옆차..","신용재,민연재"
"50012","가족사진 (2020)","김진호(SG워너비)","김진호","김진호"
"27772","너를 그린 우주(Feat. 이라온)(Insomnia2020)","마크툽","마크툽","마크툽"
"21695","댄싱 퀸 (2020 Ver.)","박현빈","서비","서비"
"22298","밤하늘의 별을(2020)","경서","강봄","강봄"
"21960","온통 이 세상은 너로 돼 있어(드라마""썸툰 2020"")","비니(오마이걸)","문정규,준벅","문정규,준벅"
"94792","Reflection(2020) (From""Mulan"")","Christina Aguilera","Matthew Wilder,David..","Words & Music by"
"28279","Upgrade 2020(Feat. 팔로알토)(Prod. 코드..","스윙스(Swings)","코드 쿤스트,팔로..","스윙스,팔로알토"
"94884","2021","Lauv","",""
"22915","그대를 사랑하는 10가지 이유(2021)","이석훈,로코베리","안영민","안영민"
"22907","까만 안경 (2021)","이루,견우","윤명선","윤명선"
"99846","당신이 최고야 Ver 2021","파파금파","최일호","파파금파"
"22888","마음이 다쳐서 (2021)","송하예","오성훈,코뿔소","오성훈,박도현"
"22764","모를까 봐서(2021) (Feat.아샤트리)","경서예지","한상원","한상원,이지은"
"23110","비가 오는 날엔(2021) (드라마""블루 버스데이"")","헤이즈(Haize)","최규성","최규성,용준형"
"28544","사랑하니까 (2021)","이보람(씨야)","오창훈,박성호","오창훈,지훈"
"28450","어디야 2021","빈첸","VAN.C","빈첸"
"23202","오늘은 가지 마 (2021)","환희","임세준","임세준"
"28401","우연히 봄 (2021)","안녕하신가영","똘아이박,피터팬,..","로꼬,최재우"
"22862","응급실 (2021)","황인욱","신동우","신동우"
"22751","흑백 사진(2021)(웹툰 ""바른 연애 길잡이"")","케이씨엠(KCM)","조영수","이주현"
"22650","LOVE DAY(2021)(웹툰 ""바른 연애 길잡이"")","양요섭,정은지","김건우","김이나"
"44645","Universe (""ドラえもん のび太の宇宙小戦争..","Official髭男dism","藤原聡","藤原聡"
"23082","Way Back Home (2021)","런치","숀","이지혜,JQ"
"24296","그대 사랑 앞에 다시 선 나(2022 Re:born)","박창근","박창근","박창근"
"24652","그댄 행복에 살 텐데 (2022)","최유리","MGR","양재선"
"71601","나에게 (2022 Remastered)","박창근","박창근","박창근"
"28842","또르르 (2022)","지연(티아라)","김종천","김종천"
"24471","라라라 (2022)","미유(Mew)","MGR","강은경"
"95882","사랑은 눈물의 씨앗 (2022 Ver.)","정동원","김영광","남국인"
"23735","오늘도 빛나는 너에게 (2022)","마크툽","마크툽","마크툽"
"23762","좋은 사람(2022)(드라마 ""플렌즈 서연대 22학번..","해찬(NCT)","유희열","유희열"
"24033","해요 (2022)","#안녕","박광현","유유진"
"44775","ディスコミュ星人(2022 ver.)","ナナヲアカリ","ナユタン星人","ナユタン星人"
"82960","눈물의 술 (2023)","차성연","심수봉","심수봉"
"80517","마중(2023) (웹툰""낮에 뜨는 달"")","FT아일랜드(FT Island)","Ryosuke Nakanishi","이희승"
"93781","사랑은 가슴이 시킨다 (2023)(드라마""시작은..","이창섭(비투비)","이상준","최갑원"
"80575","사랑하는 법을 몰라서 (2023)","FT아일랜드(FT Island)","Hiroo Yamaguchi","한성호"
"80265","알아요 (2023)","케이씨엠(KCM)","박근태","강은경"
"80521","왜 돌아보오 (2023 Ver.)","이찬원","윤복희","윤복희"
"93043","한 사람만(2023) (영화""여름날 우리"")","이홍기","한승훈","이원기,한성호"
"29926","GODS(League Of Legends: 2023 ..","NewJeans,League..","Kole Hicks,Sebasti..","Kole Hicks,Sebasti.."
"29248","Heaven(2023)(드라마 ""시작은 첫 키스"")","임재현","원상우","강은경"
"29524","Love(2023)(드라마 ""시작은 첫 키스"")","전우성","김준선","김준선"
"56165","... 사랑했잖아... (2024)","고경표","김세진","린"
"80801","시대유감(2024 aespa Remake Ver.)","aespa","서태지","서태지,카리나,비.."
"53455","오늘 헤어졌어요(2024) (드라마""매일 재회해..","케이시","이관","박화요비"
"71591","이별 택시 (2024)","#안녕","김승진","윤종신"
"82664","참 많이 사랑했다 (2024)","순순희","윤지환,미러볼,김..","윤지환,미러볼,김.."
"80609","첫눈처럼 너에게 가겠다 (2024)","로코베리","로코,코난","이미나"
"75599","첫사랑 (2024)","범진","원상우","원태연"
"74825","FOREVER (2024)","전건호,이예은","고성진","하해룡"
"75547","IDFWU (2024ver.)","NO:EL(장용준)","NO:EL(장용준),N..","NO:EL(장용준)"
